ID,GAME,PLATFORM,YEAR,GENRE,PUBLISHER,NA_SALES,EU_SALES,JP_SALES,OTHERS_SALES,GLOBAL_SALES,CRITIC_SCORE,CRITIC_COUNT,USER_SCORE,USER_COUNT
428,WarJetz,PS2,2001,Shooter,3DO,0.02,0.02,0,0.01,0.04,59,9,5.5,4
429,Warriors of Might and Magic,PS2,2001,Adventure,3DO,0.09,0.07,0,0.02,0.17,49,12,4.5,6
430,Wave Race: Blue Storm,GC,2001,Racing,Nintendo,0.4,0.1,0.09,0.02,0.6,80,21,8.3,29
431,Wizardry: Tale of the Forsaken Land,PS2,2001,Role-Playing,Ubisoft,0.04,0.03,0,0.01,0.09,70,14,7.5,6
432,Woody Woodpecker: Escape from Buzz Buzzard Park,PS2,2001,Platform,DreamCatcher Interactive,0.02,0.02,0,0.01,0.05,64,5,7.4,5
433,World Tour Soccer 2002,PS2,2001,Sports,Sony Computer Entertainment,0.07,0.05,0,0.02,0.14,77,21,7.5,10
434,World's Scariest Police Chases,PS,2001,Racing,Activision,0.2,0.14,0,0.02,0.36,54,16,6.3,4
435,Worms World Party,PC,2001,Strategy,Virgin Interactive,0,0.01,0,0,0.02,75,8,7.6,68
436,X-Men: Mutant Academy 2,PS,2001,Fighting,Activision,0.4,0.27,0,0.05,0.72,72,12,8.4,18
437,XGIII: Extreme G Racing,GC,2001,Racing,Acclaim Entertainment,0.12,0.03,0,0,0.15,83,21,7.8,14
438,Yanya Caballista: City Skater,PS2,2001,Sports,Tecmo Koei,0.02,0.02,0,0.01,0.05,58,13,6.3,7
439,Zone of the Enders,PS2,2001,Shooter,Konami Digital Entertainment,0.3,0.24,0.13,0.08,0.75,78,21,7.4,49
440,Zone of the Enders: The Fist of Mars,GBA,2001,Role-Playing,Konami Digital Entertainment,0.04,0.02,0,0,0.06,71,12,9,9
441,.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,75,35,8.5,60
442,.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,76,24,8.9,81
443,.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,70,23,8.7,19
444,18 Wheeler: American Pro Trucker,GC,2002,Racing,Acclaim Entertainment,0.09,0.02,0,0,0.11,52,17,6.8,8
445,2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,73,19,5.6,18
446,2002 FIFA World Cup,XB,2002,Sports,Electronic Arts,0.14,0.04,0,0.01,0.19,79,17,9,4
447,2002 FIFA World Cup,GC,2002,Sports,Electronic Arts,0.04,0.01,0,0,0.05,78,9,7.7,6
